"B","T","E","X","X9_ane","X10_ane","X13_ane","X14_ane","X1_M_2_PA","BTM","FormicAcid","aceticacid","NonaDecanoicAc","Tot_OcNoDecana","TYPE","SAISON","Campagne","Localisation"
-1.13425806339611,-0.102912121239242,-0.244168528359495,-0.592830586092384,-0.463841656264543,-0.59584332652239,-0.855516914463406,-1.18933754996444,-1.01058093341037,-0.121131662162044,-1.16240750781577,-0.523527730571814,-1.10350729823154,-1.55770392587439,"rural","hiver","BF3","P12"
0.644960491588445,0.797094765219094,0.155314580775373,0.299313894318001,0.678990865752197,-0.0848106943318524,-0.147227822365132,-0.0294747662215402,0.334291149577646,0.625793546750087,0.359330632660187,0.223442158931735,0.240973482504383,-0.108530294018417,"rural","hiver","CA1","P19"
-0.278927543237627,0.236534508297247,-0.497139044398132,-0.324777678727398,0.725469771972549,0.0330307521654621,-0.248857170580006,0.0111463533495091,0.0713223138483247,0.0338091064091549,-0.0271877525641766,-0.0239057430591294,0.747215772440416,-0.222637756733523,"urbain","hiver","CA1","P21"
0.251752847867196,0.21939602069846,0.236833757322628,0.373422682645331,-0.0105133921170505,0.342370975019851,0.256458565361778,0.216260688034678,0.549055173286885,1.00566383111647,0.642885859922424,1.97001555864245,-0.0109677683259629,-2.38670795499821,"urbain","hiver","CA1","P18"
-0.363654757154313,1.26434627985603,0.518469056856735,0.620286850034144,0.127718497763877,0.253432869432279,-0.305550471587845,-0.243997841949052,0.43143634387815,0.489713813828998,0.939677309602307,2.59550976204386,0.329686648519505,-0.0386305055764339,"urbain","hiver","CA1","P17"
-0.0189051185022346,0.473450195338668,0.013808282694477,0.163562506756744,0.354566569514999,0.0280307120000587,-1.00396690595237,-0.59419874366505,0.150558415530059,0.138830354576368,-0.0820638304876368,0.304195782826706,-0.548765341625685,-0.399688725417244,"urbain","hiver","CA1","P05"
-0.168729103620818,-0.189565519538854,-0.187693375893377,-0.137675540960979,-0.606385476261214,-0.183750725498012,-0.153391039179237,-0.35323864645234,-0.205775407069601,-0.327167580048426,1.29620126911914,2.09517523423534,-0.924469576659803,-2.42783659983204,"rural","hiver","CA1","P06"
-0.144274844032195,-0.0601691254528988,-0.106165189981485,-0.119108598313491,0.00993855750755701,-0.420034469413976,-0.324780542452177,0.0474411938759345,-0.616615091182564,-0.348186754527512,-0.136003298283007,-0.0370675466957423,0.315689689137081,0.601666570011218,"rural","hiver","CA1","P07"
0.174102420291963,0.665285931253456,0.433775491466626,0.494137464494334,0.25908542271992,0.291461442953157,-0.313364301225972,-0.0686137890204236,-0.0219210138992445,0.288917856938751,0.309328689424906,0.213272281936859,0.598976124365706,0.830373113515681,"rural","hiver","CA1","P03"
-0.163749903105487,0.504404335733027,0.453200600734351,0.440151854279934,0.0806353525378852,-0.223332544446664,-0.289424207926932,0.0581627111520043,0.118912804093261,0.0237683971959948,-0.0239350976233401,-0.0255479266599893,0.278890100897972,0.344144426891526,"rural","hiver","CA1","P08"
-0.172718947274122,0.343775827647157,-0.0745979302346447,0.0320235136274744,-0.464449654727238,-0.937112030767434,-0.22958488843789,0.314962619013681,-0.184266859199902,-0.502888652647593,0.269237916139645,0.214803464588372,-0.781609103598713,0.36891176943443,"rural","hiver","CA1","P13"
